source_id,respondent_id_text,usia,gender,jk,urutan_raw,urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16,formal_cuq_0_100,genz_cuq_0_100,diff_genz_minus_formal
67c31d90-10c8-4aa6-9795-e50319bdd250,352,17,Perempuan,P,Formal → Gen-Z,F→G,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1,1,90.625,92.1875,1.5625
67fa7809-526e-4358-9aac-fe6fb8f55c9b,537,17,Perempuan,P,Formal → Gen-Z,F→G,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,92.1875,93.75,1.5625
68b92707-4f02-4274-8741-80177850e378,249,17,Laki-laki,L,Formal → Gen-Z,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100.0,100.0,0.0
68e867e6-e362-45a6-ba93-34bfb199b9e7,295,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,75.0,75.0,0.0
69433a40-74f1-40ca-914e-f06ad70bf4e7,5,18,Perempuan,P,Formal → Gen-Z,F→G,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,2,5,5,2,3,81.25,79.6875,-1.5625
6a16c075-6659-474a-8c34-79dcafa80e1a,33,17,Perempuan,P,Formal → Gen-Z,F→G,3,4,4,5,4,4,5,5,3,4,5,5,4,4,3,3,3,4,2,4,4,4,5,4,4,4,5,5,3,5,2,4,67.1875,81.25,14.0625
6b978a93-c21b-4ef0-8870-3a644f874808,402,17,Perempuan,P,Formal → Gen-Z,F→G,3,4,2,1,4,5,5,4,3,4,5,4,4,3,4,2,3,3,2,3,3,4,4,4,2,4,3,4,3,5,4,4,59.375,65.625,6.25
6c6ccb19-9bd9-44a7-97ea-55d8b3500085,423,18,Perempuan,P,Gen-Z → Formal,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,95.3125,100.0,4.6875
6c8dfe4b-7308-4196-b519-534a8b757996,291,18,Perempuan,P,Gen-Z → Formal,G→F,2,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,2,3,3,3,2,4,3,4,3,4,4,4,3,3,3,3,51.5625,57.8125,6.25
6cfc7960-1dd8-47ea-9916-6a2bead50b56,336,17,Perempuan,P,Formal → Gen-Z,F→G,4,3,4,4,3,5,4,4,4,4,2,5,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,4,5,2,1,70.3125,78.125,7.8125
6d867e28-74c9-4b36-b7b5-ade6b751669f,212,17,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,98.4375,100.0,1.5625
6e7a2a76-0b5a-460b-9763-a42ec1f7009a,221,18,Perempuan,P,Formal → Gen-Z,F→G,3,5,4,4,4,5,4,5,5,5,5,4,5,5,1,3,5,5,5,3,5,5,4,4,5,4,5,5,5,5,1,1,78.125,81.25,3.125
6ec7e9a0-db8f-4e41-96bb-2abb43a8b197,9,18,Perempuan,P,Formal → Gen-Z,F→G,2,3,3,3,3,4,5,5,5,5,5,4,3,1,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,4,4,78.125,82.8125,4.6875
6f43177c-1f5e-4790-9993-326736d9c21d,147,17,Laki-laki,L,Formal → Gen-Z,F→G,1,5,1,5,5,5,5,5,5,5,5,3,3,3,3,5,5,4,4,3,4,5,5,4,4,3,3,4,5,5,3,4,70.3125,81.25,10.9375
