Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
564,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
61,P,17,G→F,5,5,3,1,4,4,1,1,5,5,1,1,3,3,3,2,5,5,2,1,5,5,1,1,5,5,1,1,5,5,5,5
252,P,17,F→G,5,5,2,2,5,3,1,1,5,5,1,1,4,5,2,2,3,4,2,2,5,5,1,1,3,3,1,2,5,5,3,3
527,L,17,F→G,2,4,3,1,4,3,1,1,4,5,4,1,4,4,2,1,5,4,1,1,3,4,2,1,4,3,1,1,5,4,1,1
405,P,18,F→G,5,5,3,3,5,5,1,1,5,5,1,1,4,4,2,2,4,4,2,2,5,5,1,1,4,4,1,1,5,5,5,4
572,P,18,F→G,5,5,3,1,5,5,1,1,5,5,2,1,4,4,2,2,5,5,2,2,5,5,1,1,5,5,2,2,5,5,1,5
514,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219,P,17,F→G,3,3,3,3,3,3,1,1,5,5,1,1,3,3,2,1,4,5,3,2,5,5,2,1,4,4,1,1,5,4,3,3
83,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,1
127,P,18,G→F,4,4,2,1,5,4,1,1,5,4,1,1,3,3,1,1,4,4,1,1,5,5,1,1,4,4,3,1,4,4,4,4
187,L,17,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
263,P,17,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
155,L,18,F→G,3,3,3,3,3,3,1,3,3,3,1,3,3,3,2,3,3,3,1,3,3,3,1,3,3,3,2,3,3,3,3,3
146,P,17,G→F,3,3,4,1,4,3,1,1,4,3,1,1,4,3,3,1,4,3,1,1,4,3,1,1,3,4,1,1,3,4,3,4
485,P,18,F→G,3,3,3,3,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
293,P,16,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
298,L,17,F→G,4,4,2,2,4,4,1,4,4,4,2,2,3,4,3,2,4,4,2,2,4,4,1,2,3,4,2,2,4,3,3,4
467,P,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
461,L,18,F→G,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
215,P,17,F→G,4,4,3,2,4,4,2,2,5,4,3,4,5,5,2,2,4,4,3,3,5,5,3,3,4,3,3,3,5,4,4,4
76,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,1
303,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
316,P,17,F→G,3,3,2,2,3,3,1,1,4,3,1,1,3,3,1,2,3,3,2,2,3,3,1,1,3,3,1,1,3,3,3,3
452,P,17,G→F,4,4,2,1,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
142,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
438,P,17,F→G,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,3,3,4,4,2,2,4,4,4,4,3,3
296,L,17,G→F,2,3,3,3,2,3,2,2,2,3,2,3,2,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,2,3,3,2
259,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
391,L,17,F→G,4,4,3,1,4,4,2,1,5,3,1,1,3,4,3,1,4,5,1,1,4,3,2,1,4,4,1,1,4,4,2,1
498,P,18,G→F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,P,17,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
74,P,17,G→F,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5
158,P,17,F→G,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,3,1,5,5,1,1,3,4,1,1,4,4,4,5
11,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,5,5
143,P,17,G→F,5,5,2,1,5,5,2,1,5,5,2,1,5,5,5,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
305,P,17,G→F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
167,P,18,F→G,3,4,2,2,4,4,2,2,4,3,2,2,3,4,3,3,3,3,4,3,4,4,2,2,3,4,4,2,4,3,4,3
498,P,18,F→G,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
