Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
350,P,17,F→G,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
289,P,17,F→G,5,5,2,1,5,5,2,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
97,P,17,F→G,4,4,2,2,4,3,1,1,3,4,1,1,5,4,2,2,4,4,2,2,4,5,1,2,4,4,2,2,4,4,1,1
439,L,18,G→F,4,4,3,3,5,5,2,3,4,4,2,2,3,3,3,3,3,4,2,3,3,3,2,3,3,4,3,3,4,5,3,3
70,P,18,F→G,5,3,4,4,4,3,2,5,5,3,5,5,5,2,4,2,5,4,3,4,4,5,2,2,4,4,2,2,4,4,4,4
417,P,17,G→F,4,5,1,3,3,3,1,1,4,4,1,1,4,4,1,1,4,4,1,4,4,4,1,1,4,4,1,1,5,5,5,5
140,P,17,F→G,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,3,3
301,P,18,G→F,4,1,1,4,4,1,1,3,4,1,1,1,4,1,1,3,4,3,1,2,2,5,1,3,4,2,1,3,4,3,4,3
234,P,17,F→G,5,5,3,2,4,4,2,2,4,4,2,2,5,5,3,2,4,4,2,2,5,5,2,2,5,5,2,2,5,5,4,4
157,L,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
579,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
285,P,17,F→G,4,5,3,1,5,5,1,1,4,5,1,1,4,5,1,1,4,5,1,1,4,5,1,1,5,5,1,1,5,5,4,5
38,P,18,G→F,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1
364,L,17,G→F,1,2,5,4,2,2,4,4,2,3,4,4,2,3,3,4,1,2,2,5,4,3,2,4,3,2,4,4,3,5,3,4
285,P,17,F→G,3,5,3,1,4,4,2,1,2,4,3,4,2,5,2,2,4,5,3,4,4,5,2,1,5,5,1,1,5,5,5,5
125,L,17,F→G,3,3,2,3,5,3,2,3,4,3,2,3,5,3,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
472,L,18,F→G,5,5,2,1,5,5,1,1,5,5,1,1,5,5,4,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,5,5
440,P,17,G→F,5,5,4,1,5,5,1,1,5,5,2,5,5,5,1,1,5,5,1,1,5,5,1,1,1,5,1,1,5,5,5,5
329,P,17,G→F,5,5,3,3,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
290,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
264,L,19,F→G,5,5,4,3,4,3,1,1,5,5,1,1,5,4,3,3,5,5,1,5,5,5,1,1,4,5,1,1,5,5,5,5
7,P,18,F→G,3,3,3,3,3,4,1,2,5,5,4,2,3,2,1,2,5,4,1,2,5,3,1,3,4,1,1,5,5,2,2,2
582,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
267,L,18,F→G,3,4,4,4,5,3,2,5,3,4,3,5,2,3,2,5,4,5,4,2,3,4,3,3,5,2,5,2,3,5,3,3
263,P,17,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
201,P,18,F→G,5,5,2,1,3,4,1,1,5,4,2,1,4,5,2,1,5,5,3,3,5,5,4,1,5,4,1,1,4,5,3,2
209,P,17,F→G,4,4,1,1,5,5,1,1,5,5,1,1,4,4,1,1,5,4,1,1,5,5,1,1,4,5,1,1,3,5,3,3
335,P,18,F→G,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
250,P,17,F→G,4,5,1,3,3,4,1,2,5,5,1,3,4,3,1,3,3,4,2,1,5,5,1,1,4,3,2,3,4,4,3,3
199,P,17,G→F,4,4,4,3,4,3,1,1,4,4,1,1,3,3,2,2,3,3,3,3,4,4,3,3,3,2,2,4,4,4,3,3
108,P,17,F→G,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
541,L,17,F→G,4,4,2,2,4,4,2,2,5,5,2,2,4,4,1,1,4,4,2,1,5,5,2,2,4,4,1,2,4,5,5,5
85,P,17,F→G,5,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,2,4,5,1,2,5,5,4,4
30,P,18,F→G,4,5,2,2,5,5,1,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,1,2,5,4,1,1,5,5,1,1
342,L,17,F→G,4,4,3,1,4,3,1,1,4,3,3,3,3,4,1,1,3,3,3,2,3,4,2,1,3,4,2,1,4,4,3,4
208,P,18,F→G,5,5,2,1,5,5,5,5,5,5,5,5,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
363,L,16,F→G,4,4,3,3,5,5,1,1,4,4,1,1,4,4,2,2,5,5,3,3,4,4,1,1,5,5,1,1,5,5,1,1
174,L,17,F→G,4,4,3,1,4,5,1,1,3,4,2,4,4,5,1,1,4,5,1,1,4,5,1,2,4,4,2,2,5,5,1,2
153,P,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
302,L,17,F→G,4,3,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,4,4,3,3,4,3,3,4,4,4,4,3,3
